"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"9.14","all","4 yr.","mnwk","no","4","Male","LPM","month03",3.08344087211753e-07,1.43221451032413e-07,2.15291833024349,0.0313250976686577,NA,NA
"9.15","all","4 yr.","mnwk","no","4","Male","LPM","month04",1.08796113254453e-06,1.50446740121183e-07,7.23153676622164,4.77558827712306e-13,NA,NA
"9.16","all","4 yr.","mnwk","no","4","Male","LPM","month05",1.85234831314308e-06,1.54765950423621e-07,11.9687069931912,5.18300849756515e-33,NA,NA
"9.17","all","4 yr.","mnwk","no","4","Male","LPM","month06",2.2076181107547e-06,1.58827066750726e-07,13.8995081626703,6.37782236155934e-44,NA,NA
"9.18","all","4 yr.","mnwk","no","4","Male","LPM","month07",2.32351125934011e-06,1.57880263484267e-07,14.716920329764,5.02007866028478e-49,NA,NA
"9.19","all","4 yr.","mnwk","no","4","Male","LPM","month08",2.14053038076557e-06,1.56790051815134e-07,13.6522078791669,1.9585370293547e-42,NA,NA
"9.20","all","4 yr.","mnwk","no","4","Male","LPM","month09",2.05763166289482e-06,1.57679930294494e-07,13.04942017067,6.40329653467315e-39,NA,NA
"9.21","all","4 yr.","mnwk","no","4","Male","LPM","month10",1.99914522567391e-06,1.55587653124604e-07,12.848996597904,8.71332097058835e-38,NA,NA
"9.22","all","4 yr.","mnwk","no","4","Male","LPM","month11",1.38403527575183e-06,1.52758116236329e-07,9.06030599127459,1.30085154927605e-19,NA,NA
"9.23","all","4 yr.","mnwk","no","4","Male","LPM","month12",2.59375527086588e-08,1.4107115699144e-07,0.183861487080826,0.854122118541743,NA,NA
"9.24","all","4 yr.","mnwk","no","4","Male","LPM","weekdayMonday",-1.36014020968654e-06,1.19518998987863e-07,-11.3801171462678,5.25291660946678e-30,NA,NA
"9.25","all","4 yr.","mnwk","no","4","Male","LPM","weekdayTuesday",-1.09887189162317e-06,1.20920617729051e-07,-9.08754778350063,1.01297921622962e-19,NA,NA
"9.26","all","4 yr.","mnwk","no","4","Male","LPM","weekdayWednesday",-8.90039765556679e-07,1.2206671648493e-07,-7.29142055415701,3.06703772897326e-13,NA,NA
"9.27","all","4 yr.","mnwk","no","4","Male","LPM","weekdayThursday",-6.2259676669581e-07,1.23691537661937e-07,-5.03346290671427,4.81698073034587e-07,NA,NA
"9.28","all","4 yr.","mnwk","no","4","Male","LPM","weekdayFriday",3.96904248847584e-07,1.29002113714581e-07,3.07672670949981,0.00209287086026923,NA,NA
"9.29","all","4 yr.","mnwk","no","4","Male","LPM","weekdaySaturday",1.12733004558316e-06,1.32455753213986e-07,8.51099343160981,1.72449450493699e-17,NA,NA
"10","all","4 yr.","mnwk","with","4","Male","LPM","(Intercept)",1.62926783043581e-05,1.56920236243949e-06,10.3827770683632,2.97007717941336e-25,NA,NA
"10.1","all","4 yr.","mnwk","with","4","Male","LPM","policyTRUE",-5.25418767281209e-06,2.07101919182716e-06,-2.53700578611084,0.0111805106504064,NA,NA
"10.2","all","4 yr.","mnwk","with","4","Male","LPM","age_grp16-19",5.18205364209359e-05,1.88015843701588e-06,27.5617923472362,3.19633559930884e-167,NA,NA
"10.3","all","4 yr.","mnwk","with","4","Male","LPM","age_grp20-24",1.63178900639156e-06,1.60552452257497e-06,1.01635881822251,0.309458548846728,NA,NA
"10.4","all","4 yr.","mnwk","with","4","Male","LPM","age_grp25-34",-1.30066149769771e-05,1.57191266752341e-06,-8.2743877861035,1.29117332731207e-16,NA,NA
