"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"4.30","all","Placebo","mnwk","with","all","Female","LPM","policyTRUE:age_grp16-19",-1.13488801626271e-05,1.07891666787009e-05,-1.05187736000326,0.292855820472945,NA,NA
"4.31","all","Placebo","mnwk","with","all","Female","LPM","policyTRUE:age_grp20-24",-9.13750935263912e-07,9.82108193485411e-06,-0.0930397425991422,0.925871988118392,NA,NA
"4.32","all","Placebo","mnwk","with","all","Female","LPM","policyTRUE:age_grp25-34",-1.0371809414693e-05,9.43764253955695e-06,-1.09898307455708,0.271775448695388,NA,NA
"4.33","all","Placebo","mnwk","with","all","Female","LPM","policyTRUE:age_grp35-44",-1.48783780554851e-05,9.39618164059798e-06,-1.58344938663172,0.113319074231587,NA,NA
"4.34","all","Placebo","mnwk","with","all","Female","LPM","policyTRUE:age_grp45-54",-8.43718717552421e-06,9.35514158385443e-06,-0.901877015959387,0.36712220210788,NA,NA
"4.35","all","Placebo","mnwk","with","all","Female","LPM","policyTRUE:age_grp55-64",-6.45433867051914e-06,9.35774291812272e-06,-0.689732420199246,0.490362474077655,NA,NA
"4.36","all","Placebo","mnwk","with","all","Female","LPM","policyTRUE:age_grp65-199",-3.17275567677131e-06,9.34469509662491e-06,-0.33952479390336,0.734214422369833,NA,NA
"5","all","Placebo","mnwk","no","all","Male","Logit","(Intercept)",-9.13892929265044,0.0272808980110284,-334.993712045549,0,NA,NA
"5.1","all","Placebo","mnwk","no","all","Male","Logit","policyTRUE",-0.00242793285103258,0.00169008199367488,-1.43657695905826,0.150838234544621,-0.130566589238914,-0.547840256868992
"5.2","all","Placebo","mnwk","no","all","Male","Logit","age_grp16-19",1.27019573233579,0.0272841816284516,46.5542910406096,0,80.9236946388813,187.26215958787
"5.3","all","Placebo","mnwk","no","all","Male","Logit","age_grp20-24",1.12944603278935,0.0271330545393722,41.6262028718673,0,67.9824738088008,153.130082975698
"5.4","all","Placebo","mnwk","no","all","Male","Logit","age_grp25-34",0.94875558591014,0.0270818611499796,35.0328797808956,7.10863065623902e-269,42.906589890984,115.771190980115
"5.5","all","Placebo","mnwk","no","all","Male","Logit","age_grp35-44",0.828769640547843,0.0270828721942669,30.6012462268786,1.17820901900552e-205,32.0147758999285,94.4297666658733
"5.6","all","Placebo","mnwk","no","all","Male","Logit","age_grp45-54",0.72591264006053,0.0270884052750942,26.7979097583848,3.41783535319278e-158,24.5873122841237,78.0603898959044
"5.7","all","Placebo","mnwk","no","all","Male","Logit","age_grp55-64",0.567381649781231,0.027134054594379,20.9103157734034,4.31376632432994e-97,16.405452282847,55.8996823685055
"5.8","all","Placebo","mnwk","no","all","Male","Logit","age_grp65-199",0.196744612794371,0.0272440037839973,7.22157485934337,5.13889330037462e-13,4.16823837660749,15.922758368866
"5.9","all","Placebo","mnwk","no","all","Male","Logit","curr_pts_grp1-3",1.07646551704735,0.00208144634116483,517.171879840503,0,NA,NA
"5.10","all","Placebo","mnwk","no","all","Male","Logit","curr_pts_grp4-6",1.52178925839083,0.00264879433807632,574.521485686967,0,NA,NA
"5.11","all","Placebo","mnwk","no","all","Male","Logit","curr_pts_grp7-9",1.75435520530166,0.00351133193523631,499.626705096336,0,NA,NA
"5.12","all","Placebo","mnwk","no","all","Male","Logit","curr_pts_grp10-150",2.04023889227032,0.00372204770936497,548.14958097848,0,NA,NA
"5.13","all","Placebo","mnwk","no","all","Male","Logit","month02",0.127354656108269,0.00408814324064438,31.1522000604351,4.73615948849764e-213,NA,NA
"5.14","all","Placebo","mnwk","no","all","Male","Logit","month03",0.123704861847,0.00401557870456943,30.8062351526651,2.16228156686087e-208,NA,NA
"5.15","all","Placebo","mnwk","no","all","Male","Logit","month04",0.0103016107363148,0.00423067931365233,2.4349779249568,0.0148926982957462,NA,NA
"5.16","all","Placebo","mnwk","no","all","Male","Logit","month05",0.0465393327640071,0.00412563331517773,11.2805305776435,1.63755581228809e-29,NA,NA
"5.17","all","Placebo","mnwk","no","all","Male","Logit","month06",0.0633515608491459,0.00415318087184301,15.2537447330179,1.55456675963456e-52,NA,NA
"5.18","all","Placebo","mnwk","no","all","Male","Logit","month07",0.0767474039325627,0.00410958637933354,18.6752137194422,7.87749269187807e-78,NA,NA
"5.19","all","Placebo","mnwk","no","all","Male","Logit","month08",-0.0180129605497726,0.00417932299769113,-4.31001876613123,1.63240698855653e-05,NA,NA
"5.20","all","Placebo","mnwk","no","all","Male","Logit","month09",0.208922860242055,0.004004856146882,52.1673819432224,0,NA,NA
"5.21","all","Placebo","mnwk","no","all","Male","Logit","month10",0.160142022390587,0.00399518882236995,40.0837180695732,0,NA,NA
"5.22","all","Placebo","mnwk","no","all","Male","Logit","month11",0.156783318495224,0.00402020844692039,38.9988033121331,0,NA,NA
"5.23","all","Placebo","mnwk","no","all","Male","Logit","month12",-0.546275940500635,0.00486681992073447,-112.244946268362,0,NA,NA
"5.24","all","Placebo","mnwk","no","all","Male","Logit","weekdayMonday",0.32270654466551,0.00340284359403909,94.8343747655076,0,NA,NA
"5.25","all","Placebo","mnwk","no","all","Male","Logit","weekdayTuesday",0.401044170902929,0.00335617066764333,119.494570037625,0,NA,NA
"5.26","all","Placebo","mnwk","no","all","Male","Logit","weekdayWednesday",0.457171448266283,0.00331923586873789,137.733944300897,0,NA,NA
"5.27","all","Placebo","mnwk","no","all","Male","Logit","weekdayThursday",0.430701073567737,0.00333505044180614,129.143795898477,0,NA,NA
"5.28","all","Placebo","mnwk","no","all","Male","Logit","weekdayFriday",0.343848480782992,0.00339343242823782,101.32763449825,0,NA,NA
"5.29","all","Placebo","mnwk","no","all","Male","Logit","weekdaySaturday",0.0766257820019043,0.0035972484305463,21.3012204970974,1.10603782227479e-100,NA,NA
"6","all","Placebo","mnwk","with","all","Male","Logit","(Intercept)",-9.11148562990078,0.0381392576365901,-238.900445224172,0,NA,NA
"6.1","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE",-0.0572004010497787,0.0540489047507224,-1.05830823609824,0.289914939391248,-1.08119161314712,-4.18477840284061
"6.2","all","Placebo","mnwk","with","all","Male","Logit","age_grp16-19",1.27714678647495,0.038340689543407,33.3104803717482,2.72285619620655e-243,83.9768225406855,194.296975263351
"6.3","all","Placebo","mnwk","with","all","Male","Logit","age_grp20-24",1.1195550290167,0.038118135297535,29.3706662269258,1.30172823319513e-189,68.8597597608379,155.07611540473
"6.4","all","Placebo","mnwk","with","all","Male","Logit","age_grp25-34",0.925981073733612,0.0380522646113794,24.3344537622263,8.46969604151108e-131,42.4794527295462,114.604429118776
"6.5","all","Placebo","mnwk","with","all","Male","Logit","age_grp35-44",0.80399349568079,0.0380544887711512,21.1274286330787,4.45145768719553e-99,31.4750599770642,92.8293900627786
"6.6","all","Placebo","mnwk","with","all","Male","Logit","age_grp45-54",0.690677161170193,0.0380662915677451,18.1440621800793,1.43057493979934e-73,23.5751477318701,74.8416615386779
"6.7","all","Placebo","mnwk","with","all","Male","Logit","age_grp55-64",0.522587197923342,0.0381370734612327,13.702865754882,9.75953265636765e-43,15.1552980318025,51.6369073342812
"6.8","all","Placebo","mnwk","with","all","Male","Logit","age_grp65-199",0.128422192190641,0.0383114506411127,3.35205767574952,0.000802133072459765,2.69994203534037,10.3132865019439
"6.9","all","Placebo","mnwk","with","all","Male","Logit","curr_pts_grp1-3",1.07625146449556,0.00208132105183841,517.100167484933,0,NA,NA
"6.10","all","Placebo","mnwk","with","all","Male","Logit","curr_pts_grp4-6",1.52169386022954,0.00264845833164043,574.558354213191,0,NA,NA
"6.11","all","Placebo","mnwk","with","all","Male","Logit","curr_pts_grp7-9",1.75454763240307,0.00351094825606717,499.73611242236,0,NA,NA
"6.12","all","Placebo","mnwk","with","all","Male","Logit","curr_pts_grp10-150",2.04114820378304,0.00372173130645465,548.440506772495,0,NA,NA
"6.13","all","Placebo","mnwk","with","all","Male","Logit","month02",0.127351233314282,0.00408813995306147,31.1513878625688,4.85764621555673e-213,NA,NA
"6.14","all","Placebo","mnwk","with","all","Male","Logit","month03",0.123692838525475,0.00401557835100336,30.8032436957849,2.37123725659406e-208,NA,NA
"6.15","all","Placebo","mnwk","with","all","Male","Logit","month04",0.010245874272687,0.00423070454491008,2.42178912848303,0.0154443097222289,NA,NA
"6.16","all","Placebo","mnwk","with","all","Male","Logit","month05",0.0465017511948554,0.00412565401466886,11.2713647410853,1.81731259839803e-29,NA,NA
"6.17","all","Placebo","mnwk","with","all","Male","Logit","month06",0.0633310263710837,0.00415319023554117,15.2487660760455,1.67774621149982e-52,NA,NA
"6.18","all","Placebo","mnwk","with","all","Male","Logit","month07",0.0767373382473192,0.00410959210577695,18.6727383818573,8.25125955006021e-78,NA,NA
"6.19","all","Placebo","mnwk","with","all","Male","Logit","month08",-0.0180151792710952,0.00417932566971039,-4.31054689077235,1.62851296734214e-05,NA,NA
"6.20","all","Placebo","mnwk","with","all","Male","Logit","month09",0.208928579481927,0.00400485817857608,52.1687835538315,0,NA,NA
"6.21","all","Placebo","mnwk","with","all","Male","Logit","month10",0.160155739701555,0.00399519042919603,40.0871354044028,0,NA,NA
"6.22","all","Placebo","mnwk","with","all","Male","Logit","month11",0.156797873079123,0.00402020599221747,39.0024474822089,0,NA,NA
"6.23","all","Placebo","mnwk","with","all","Male","Logit","month12",-0.54627055083899,0.00486681579319971,-112.243934032244,0,NA,NA
"6.24","all","Placebo","mnwk","with","all","Male","Logit","weekdayMonday",0.322706170251482,0.00340284378873252,94.8342593098234,0,NA,NA
"6.25","all","Placebo","mnwk","with","all","Male","Logit","weekdayTuesday",0.401044426540955,0.00335617070835989,119.494644757489,0,NA,NA
"6.26","all","Placebo","mnwk","with","all","Male","Logit","weekdayWednesday",0.457171752398355,0.003319235746592,137.734040996561,0,NA,NA
"6.27","all","Placebo","mnwk","with","all","Male","Logit","weekdayThursday",0.430701492061317,0.0033350504575808,129.143920771065,0,NA,NA
"6.28","all","Placebo","mnwk","with","all","Male","Logit","weekdayFriday",0.343849105254277,0.00339343211745479,101.327827801718,0,NA,NA
"6.29","all","Placebo","mnwk","with","all","Male","Logit","weekdaySaturday",0.0766261376471324,0.00359724871883758,21.3013176558705,1.10374611573321e-100,NA,NA
"6.30","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp16-19",-0.0105873688364527,0.0545407329004228,-0.194118565582581,0.846083044906714,-1.14463612345711,-2.64728307148073
"6.31","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp20-24",0.020382031779608,0.0542483540056322,0.375717054520988,0.707127257670207,2.02661973836141,4.56276191337299
"6.32","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp25-34",0.0457284513257534,0.054163590795489,0.844265504818818,0.398521057574476,3.25144108037464,8.76841737552658
"6.33","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp35-44",0.0495962009037494,0.0541702425236067,0.915561728972065,0.359896812100571,2.87326376618051,8.47059484220232
"6.34","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp45-54",0.0697787541776825,0.0541840395654475,1.28781011414622,0.1978120707859,3.45766389930777,10.9719909874898
"6.35","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp55-64",0.0878608480395438,0.0542767566015432,1.61875641694194,0.105499682978902,3.52482333114556,12.005150508917
"6.36","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp65-199",0.131609387260976,0.0544967668419761,2.41499440953264,0.0157354512698426,3.39418581417875,12.9622615658111
"7","all","Placebo","mnwk","no","all","Female","Logit","(Intercept)",-10.6441746808521,0.0929933323485046,-114.461697543666,0,NA,NA
"7.1","all","Placebo","mnwk","no","all","Female","Logit","policyTRUE",-0.00585192750293359,0.00268680973632452,-2.17802080430856,0.0294044880263078,-0.154338196247359,-0.879545189199542
"7.2","all","Placebo","mnwk","no","all","Female","Logit","age_grp16-19",1.76872442080693,0.0930303276814707,19.0123421564516,1.34799533478086e-80,32.8473577664048,126.35271589003
"7.3","all","Placebo","mnwk","no","all","Female","Logit","age_grp20-24",1.75944023056601,0.0928473015302091,18.9498262369376,4.43050617850189e-80,34.3649802284322,124.946729824226
"7.4","all","Placebo","mnwk","no","all","Female","Logit","age_grp25-34",1.62392393554343,0.092800198610721,17.4991428882117,1.45442983285676e-68,27.4696379140017,105.839162231848
"7.5","all","Placebo","mnwk","no","all","Female","Logit","age_grp35-44",1.55438687006345,0.0927967633724067,16.7504427263856,5.62069644202294e-63,24.6270849063333,96.9924832166583
"7.6","all","Placebo","mnwk","no","all","Female","Logit","age_grp45-54",1.36735630634066,0.0928030311648657,14.7339616947591,3.9014979424574e-49,17.898161903167,76.0302058696105
"7.7","all","Placebo","mnwk","no","all","Female","Logit","age_grp55-64",1.10793855326627,0.0928469158128079,11.9329602234718,7.96886043323419e-33,11.6150561299826,52.7301331503906
"7.8","all","Placebo","mnwk","no","all","Female","Logit","age_grp65-199",0.685504664970666,0.092971163362057,7.37330415347294,1.66450203739458e-13,5.24635476201367,25.6107042479815
"7.9","all","Placebo","mnwk","no","all","Female","Logit","curr_pts_grp1-3",1.14591994730172,0.0032623361970487,351.257466455599,0,NA,NA
"7.10","all","Placebo","mnwk","no","all","Female","Logit","curr_pts_grp4-6",1.66600741016991,0.00500242773184158,333.039775780348,0,NA,NA
