"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"14.5","high","4 yr.","excluded","with","7","All","LPM","age_grp35-44",6.04316288640492e-06,2.06691561085994e-07,29.2375888722939,6.45877365852622e-188
"14.6","high","4 yr.","excluded","with","7","All","LPM","age_grp45-54",4.00530246561226e-06,1.804379433388e-07,22.1976730143265,3.61714657953318e-109
"14.7","high","4 yr.","excluded","with","7","All","LPM","age_grp55-64",2.67701984117457e-06,1.70504457120588e-07,15.7005856995355,1.49854083636093e-55
"14.8","high","4 yr.","excluded","with","7","All","LPM","age_grp65-199",2.83483105273617e-06,2.40674487345795e-07,11.7786936371995,5.02662737046679e-32
"14.9","high","4 yr.","excluded","with","7","All","LPM","curr_pts_grp1-3",5.92009723414106e-07,1.47819648293834e-07,4.00494609645747,6.20316284795291e-05
"14.10","high","4 yr.","excluded","with","7","All","LPM","curr_pts_grp4-6",1.00571724703524e-06,1.90694533356465e-07,5.27396999448985,1.33503767891467e-07
"14.11","high","4 yr.","excluded","with","7","All","LPM","curr_pts_grp7-9",4.18269617502467e-06,3.14052264454906e-07,13.3184716317346,1.80771517602313e-40
"14.12","high","4 yr.","excluded","with","7","All","LPM","curr_pts_grp10-150",2.09161472768633e-05,6.13702884884366e-07,34.0818786941246,1.36924352888232e-254
"14.13","high","4 yr.","excluded","with","7","All","LPM","policyTRUE:age_grp16-19",-4.6701898534282e-05,2.59959433346906e-06,-17.9650716779184,3.65813455020836e-72
"14.14","high","4 yr.","excluded","with","7","All","LPM","policyTRUE:age_grp20-24",-1.50102787012363e-05,7.00262326796785e-07,-21.4352223828718,6.27362247911466e-102
"14.15","high","4 yr.","excluded","with","7","All","LPM","policyTRUE:age_grp25-34",-6.09372484696711e-06,3.1582281616e-07,-19.2947581212117,5.94442556313361e-83
"14.16","high","4 yr.","excluded","with","7","All","LPM","policyTRUE:age_grp35-44",-1.75067350808249e-06,2.43311511515967e-07,-7.19519391900042,6.23720920512992e-13
"14.17","high","4 yr.","excluded","with","7","All","LPM","policyTRUE:age_grp45-54",-5.50880105300277e-07,2.08297595446938e-07,-2.64467817844113,0.00817686452359348
"14.18","high","4 yr.","excluded","with","7","All","LPM","policyTRUE:age_grp55-64",7.49959615650709e-07,2.03310507060504e-07,3.68874007789241,0.000225367318116226
"14.19","high","4 yr.","excluded","with","7","All","LPM","policyTRUE:age_grp65-199",3.36127754102677e-07,2.44913622195644e-07,1.37243388542173,0.169928407738087
"15","high","4 yr.","excluded","no","9+","All","LPM","(Intercept)",2.79049735412949e-05,1.16624918928539e-05,2.39271107732931,0.0167244052848715
