,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value,mfx
8.26,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month03,0.161493201,0.002785424,57.97796341,0,NA
8.27,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month04,0.093202515,0.002888649,32.26509356,2.16E-228,NA
8.28,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month05,0.132353283,0.002830635,46.75746037,0,NA
8.29,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month06,0.116952284,0.002862882,40.85123616,0,NA
8.3,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month07,0.100360292,0.002852016,35.18924859,2.92E-271,NA
8.31,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month08,-0.000812053,0.002916688,-0.278416063,0.78069299,NA
8.32,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month09,0.26032678,0.002763703,94.19492403,0,NA
8.33,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month10,0.214309338,0.002764352,77.52605656,0,NA
8.34,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month11,0.198893614,0.002791216,71.25697811,0,NA
8.35,all,Monthly 4 yr.,mnwk,with,all,All,Logit,month12,-0.57269827,0.003425643,-167.1798079,0,NA
8.36,all,Monthly 4 yr.,mnwk,with,all,All,Logit,weekdayMonday,0.427115666,0.002084308,204.9196332,0,NA
8.37,all,Monthly 4 yr.,mnwk,with,all,All,Logit,weekdayTuesday,0.533634193,0.002042875,261.2172514,0,NA
8.38,all,Monthly 4 yr.,mnwk,with,all,All,Logit,weekdayWednesday,0.582626426,0.002024885,287.733155,0,NA
8.39,all,Monthly 4 yr.,mnwk,with,all,All,Logit,weekdayThursday,0.533133364,0.002044718,260.7368327,0,NA
8.4,all,Monthly 4 yr.,mnwk,with,all,All,Logit,weekdayFriday,0.436651649,0.002082248,209.7020817,0,NA
8.41,all,Monthly 4 yr.,mnwk,with,all,All,Logit,weekdaySaturday,0.102480412,0.002237251,45.80639159,0,NA
8.42,all,Monthly 4 yr.,mnwk,with,all,All,Logit,policyTRUE:age_grp16-19,-0.068439641,0.037261913,-1.836718428,0.066251473,-5.372650346
8.43,all,Monthly 4 yr.,mnwk,with,all,All,Logit,policyTRUE:age_grp20-24,-0.08258492,0.037100375,-2.225986137,0.02601511,-5.923616417
8.44,all,Monthly 4 yr.,mnwk,with,all,All,Logit,policyTRUE:age_grp25-34,-0.083647837,0.037049683,-2.257720712,0.023963077,-4.356496197
8.45,all,Monthly 4 yr.,mnwk,with,all,All,Logit,policyTRUE:age_grp35-44,-0.043296355,0.037051129,-1.168556982,0.242582169,-1.934348978
8.46,all,Monthly 4 yr.,mnwk,with,all,All,Logit,policyTRUE:age_grp45-54,-0.034233789,0.037057274,-0.923807538,0.35558653,-1.254314212
8.47,all,Monthly 4 yr.,mnwk,with,all,All,Logit,policyTRUE:age_grp55-64,-0.023417933,0.037106709,-0.631097012,0.527977095,-0.669360903
8.48,all,Monthly 4 yr.,mnwk,with,all,All,Logit,policyTRUE:age_grp65-199,0.037215361,0.037220304,0.999867209,0.317374775,0.691627447
