"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","mfx"
"12.3","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy02",0.0633925405689688,0.00693258330928581,9.14414407167066,6.01039221672229e-20,NA
"12.4","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy03",-0.0155305774247943,0.00738846769574758,-2.10200248066766,0.0355530585023577,NA
"12.5","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy04",-0.152502134153075,0.00775877617218296,-19.6554367298068,5.19400080035753e-86,NA
"12.6","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy05",-0.165204919507886,0.00825873419506522,-20.0036610460958,5.11744520242316e-89,NA
"12.7","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy06",-0.165213344015914,0.00714548846136751,-23.1213506129286,2.82414080220108e-118,NA
"12.8","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy07",-0.138911246937107,0.00707187121445089,-19.6427851589339,6.66411371662851e-86,NA
"12.9","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy08",-0.184035898599897,0.007438229093599,-24.7418970677134,3.78988609620755e-135,NA
"12.10","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy09",-0.358247519533192,0.0116883235954359,-30.6500343362398,2.63989713344899e-206,NA
"12.11","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy10",-0.526739016935737,0.00945001083494373,-55.739514603305,0,NA
"12.12","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy11",-0.197721798150382,0.00801028908561255,-24.6834784659038,1.60928144471442e-134,NA
"12.13","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policy_monthpolicy12",-0.0770779753778209,0.00716879357499861,-10.75187541271,5.80687612080627e-27,NA
"12.14","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","age_grp16-19",1.76604375172286,0.0930874320731821,18.971881728722,2.91290447940261e-80,NA
"12.15","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","age_grp20-24",1.75686920601668,0.0929075775283769,18.9098591606274,9.4609106983594e-80,NA
"12.16","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","age_grp25-34",1.62144979012849,0.0928617606881529,17.4608986316082,2.84421459691241e-68,NA
"12.17","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","age_grp35-44",1.55196675326799,0.0928588046756633,16.7131890044104,1.05063463793564e-62,NA
"12.18","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","age_grp45-54",1.36543515686269,0.0928662578706105,14.7032430095884,6.14451166928748e-49,NA
"12.19","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","age_grp55-64",1.10658212144106,0.092910431123374,11.9102032792383,1.04721647292157e-32,NA
"12.20","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","age_grp65-199",0.684845193179352,0.0930344621994963,7.36119903300801,1.82265565415695e-13,NA
"12.21","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","curr_pts_grp1-3",1.15413891259702,0.00223504376037671,516.383138915587,0,NA
"12.22","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","curr_pts_grp4-6",1.67933785159458,0.00331853860231273,506.047406055251,0,NA
"12.23","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","curr_pts_grp7-9",1.95441625218229,0.00529955236461934,368.788931161486,0,NA
"12.24","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","curr_pts_grp10-150",2.20125514615656,0.00710893709447231,309.646170292911,0,NA
