"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"1","high","4 yr.","mnwk","no","all","All","LPM","(Intercept)",-8.29376986134779e-05,2.95529740855177e-06,-28.0640785504296,2.68972043235005e-173
"1.1","high","4 yr.","mnwk","no","all","All","LPM","policyTRUE",-3.86563121694139e-05,4.11450060792212e-07,-93.951407116053,0
"1.2","high","4 yr.","mnwk","no","all","All","LPM","age_grp16-19",0.000436325210624043,3.3492621997532e-06,130.27502315471,0
"1.3","high","4 yr.","mnwk","no","all","All","LPM","age_grp20-24",0.000346195779599865,3.02155767587201e-06,114.575267705242,0
"1.4","high","4 yr.","mnwk","no","all","All","LPM","age_grp25-34",0.000227822798532645,2.89912490324321e-06,78.5832988008839,0
"1.5","high","4 yr.","mnwk","no","all","All","LPM","age_grp35-44",0.000185636334857917,2.88768287404015e-06,64.2855683796723,0
"1.6","high","4 yr.","mnwk","no","all","All","LPM","age_grp45-54",0.000139811946754262,2.87826490100889e-06,48.5750796270541,0
"1.7","high","4 yr.","mnwk","no","all","All","LPM","age_grp55-64",9.05318093046352e-05,2.88045877385331e-06,31.4296493761398,7.96460750943158e-217
"1.8","high","4 yr.","mnwk","no","all","All","LPM","age_grp65-199",2.8614836142191e-05,2.87587046173439e-06,9.949973937607,2.5224933132883e-23
"1.9","high","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp1-3",0.000567603391662603,8.44027231393348e-07,672.494169086919,0
"1.10","high","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp4-6",0.00115247726427632,2.01956827845389e-06,570.655261608001,0
"1.11","high","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp7-9",0.00163727666865797,3.92129161074453e-06,417.535044874438,0
"1.12","high","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp10-150",0.00227182587907363,5.59705972627878e-06,405.896308093189,0
"1.13","high","4 yr.","mnwk","no","all","All","LPM","month02",7.64133829044902e-05,9.9603719727325e-07,76.7173988217301,0
"1.14","high","4 yr.","mnwk","no","all","All","LPM","month03",9.3085974153719e-05,9.79908350731385e-07,94.994571772188,0
"1.15","high","4 yr.","mnwk","no","all","All","LPM","month04",8.5544043491051e-05,9.88016226058548e-07,86.5816180289956,0
"1.16","high","4 yr.","mnwk","no","all","All","LPM","month05",9.7597486203779e-05,9.86708007491895e-07,98.9122267811135,0
"1.17","high","4 yr.","mnwk","no","all","All","LPM","month06",8.19389901024041e-05,9.84644733283529e-07,83.2168063593448,0
"1.18","high","4 yr.","mnwk","no","all","All","LPM","month07",6.09168992822225e-05,9.6279325937643e-07,63.2710072375002,0
"1.19","high","4 yr.","mnwk","no","all","All","LPM","month08",2.15612635167264e-05,9.36100178936751e-07,23.0330727435778,2.17416473347126e-117
