"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"3.1","high","4 yr.","mnwk","no","1","Male","LPM","policyTRUE",-5.45414276280532e-06,5.72219998188214e-07,-9.53154867022202,1.54954473934352e-21,NA,NA
"3.2","high","4 yr.","mnwk","no","1","Male","LPM","age_grp16-19",7.12313913173893e-05,7.33391577871467e-06,9.7126001261325,2.66452344148631e-22,NA,NA
"3.3","high","4 yr.","mnwk","no","1","Male","LPM","age_grp20-24",7.90559844318562e-05,6.96421591198048e-06,11.3517423111275,7.26997517426385e-30,NA,NA
"3.4","high","4 yr.","mnwk","no","1","Male","LPM","age_grp25-34",0.00010028799635564,6.94023239654198e-06,14.4502360476587,2.49831190959174e-47,NA,NA
"3.5","high","4 yr.","mnwk","no","1","Male","LPM","age_grp35-44",0.000104899867541218,6.94642608407725e-06,15.1012716858345,1.58842416653731e-51,NA,NA
"3.6","high","4 yr.","mnwk","no","1","Male","LPM","age_grp45-54",0.000104302715183396,6.95152387353353e-06,15.0042950410495,6.88191743443519e-51,NA,NA
"3.7","high","4 yr.","mnwk","no","1","Male","LPM","age_grp55-64",9.84972721118089e-05,6.96919187364678e-06,14.1332415432936,2.36982425323387e-45,NA,NA
"3.8","high","4 yr.","mnwk","no","1","Male","LPM","age_grp65-199",8.07463970410103e-05,6.98551198329789e-06,11.5591236882954,6.63830735463289e-31,NA,NA
"3.9","high","4 yr.","mnwk","no","1","Male","LPM","curr_pts_grp1-3",2.94480063154295e-05,5.74775970574093e-07,51.2338855885303,0,NA,NA
"3.10","high","4 yr.","mnwk","no","1","Male","LPM","curr_pts_grp4-6",7.0319043636701e-05,8.4544691780775e-07,83.1738127557893,0,NA,NA
"3.11","high","4 yr.","mnwk","no","1","Male","LPM","curr_pts_grp7-9",0.000115920863281673,1.33294017636011e-06,86.9662910140653,0,NA,NA
"3.12","high","4 yr.","mnwk","no","1","Male","LPM","curr_pts_grp10-150",0.000198277532357172,1.93336593757914e-06,102.555614797602,0,NA,NA
"3.13","high","4 yr.","mnwk","no","1","Male","LPM","month02",1.33585153411232e-05,1.41885329789229e-06,9.41500813436264,4.73046800498744e-21,NA,NA
"3.14","high","4 yr.","mnwk","no","1","Male","LPM","month03",1.52480927283692e-05,1.39009113683022e-06,10.9691316809191,5.3786647947109e-28,NA,NA
"3.15","high","4 yr.","mnwk","no","1","Male","LPM","month04",8.34322720417557e-06,1.38039864341864e-06,6.04407085152812,1.50273525815243e-09,NA,NA
"3.16","high","4 yr.","mnwk","no","1","Male","LPM","month05",1.48530391157492e-05,1.3982863889748e-06,10.6223154518719,2.34667740152426e-26,NA,NA
"3.17","high","4 yr.","mnwk","no","1","Male","LPM","month06",1.02680264559877e-05,1.38681406015872e-06,7.40403977070471,1.32102944097232e-13,NA,NA
"3.18","high","4 yr.","mnwk","no","1","Male","LPM","month07",5.4980632625653e-06,1.35217082379931e-06,4.06610109151514,4.78062089924785e-05,NA,NA
"3.19","high","4 yr.","mnwk","no","1","Male","LPM","month08",-1.1541819248456e-06,1.31714049179816e-06,-0.876278523082918,0.380878637905861,NA,NA
"3.20","high","4 yr.","mnwk","no","1","Male","LPM","month09",2.44363135653737e-05,1.44890789385066e-06,16.8653326198887,8.09469591004579e-64,NA,NA
"3.21","high","4 yr.","mnwk","no","1","Male","LPM","month10",1.31833225278032e-05,1.38559422305901e-06,9.51456227834009,1.82479908655629e-21,NA,NA
"3.22","high","4 yr.","mnwk","no","1","Male","LPM","month11",1.07847399492147e-05,1.38276842425506e-06,7.79938257197678,6.22108627825294e-15,NA,NA
"3.23","high","4 yr.","mnwk","no","1","Male","LPM","month12",-2.88199657645022e-05,1.17245470297275e-06,-24.5808777869451,2.02330434624096e-133,NA,NA
"3.24","high","4 yr.","mnwk","no","1","Male","LPM","weekdayMonday",3.50876705844611e-05,9.84969753795997e-07,35.6230944648158,6.15393679303535e-278,NA,NA
"3.25","high","4 yr.","mnwk","no","1","Male","LPM","weekdayTuesday",4.5373968800494e-05,1.02370371906424e-06,44.3233407825949,0,NA,NA
"3.26","high","4 yr.","mnwk","no","1","Male","LPM","weekdayWednesday",4.71279197007384e-05,1.02976072035678e-06,45.7658937354011,0,NA,NA
"3.27","high","4 yr.","mnwk","no","1","Male","LPM","weekdayThursday",4.25496251033259e-05,1.01490272673615e-06,41.9248308063593,0,NA,NA
"3.28","high","4 yr.","mnwk","no","1","Male","LPM","weekdayFriday",3.11069695748261e-05,9.71580341968397e-07,32.0168783075666,6.35127550657594e-225,NA,NA
"3.29","high","4 yr.","mnwk","no","1","Male","LPM","weekdaySaturday",3.84582285762445e-06,8.56307530985516e-07,4.49117019115589,7.08329291709256e-06,NA,NA
"4","high","4 yr.","mnwk","with","1","Male","LPM","(Intercept)",-9.37390038750521e-05,8.59197546360482e-06,-10.910064195612,1.03183861893125e-27,NA,NA
