"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"3.10","all","4 yr.","excluded","no","1","All","LPM","curr_pts_grp4-6",8.60809704746695e-05,5.60104211559283e-07,153.687418694866,0
"3.11","all","4 yr.","excluded","no","1","All","LPM","curr_pts_grp7-9",0.000126983394590062,1.09950736428091e-06,115.491172424398,0
"3.12","all","4 yr.","excluded","no","1","All","LPM","curr_pts_grp10-150",0.000197566766240139,1.64783820956891e-06,119.894517005905,0
"4","all","4 yr.","excluded","with","1","All","LPM","(Intercept)",1.44064609118959e-06,8.09695369423026e-07,1.77924457221013,0.0751996738260684
"4.1","all","4 yr.","excluded","with","1","All","LPM","policyTRUE",1.61978826815145e-06,1.25325511124595e-06,1.2924649208421,0.196196186624448
"4.2","all","4 yr.","excluded","with","1","All","LPM","age_grp16-19",4.04257255807572e-05,1.08448095766554e-06,37.2765656187986,3.93484496118519e-304
"4.3","all","4 yr.","excluded","with","1","All","LPM","age_grp20-24",2.52811385527292e-05,8.91760368277311e-07,28.3496995965036,8.44180720412474e-177
"4.4","all","4 yr.","excluded","with","1","All","LPM","age_grp25-34",2.210133279107e-05,8.36314487156186e-07,26.427059593603,6.69774551664898e-154
"4.5","all","4 yr.","excluded","with","1","All","LPM","age_grp35-44",2.06269920379624e-05,8.30199885021919e-07,24.8458141347705,2.86981755743475e-136
"4.6","all","4 yr.","excluded","with","1","All","LPM","age_grp45-54",1.7686937567703e-05,8.25887886612029e-07,21.4156641045538,9.54738987862522e-102
"4.7","all","4 yr.","excluded","with","1","All","LPM","age_grp55-64",1.37400809229595e-05,8.27466639153198e-07,16.6049968334924,6.41236609111386e-62
"4.8","all","4 yr.","excluded","with","1","All","LPM","age_grp65-199",6.89554441279588e-06,8.23226576528349e-07,8.37624125532398,5.46448470818201e-17
"4.9","all","4 yr.","excluded","with","1","All","LPM","curr_pts_grp1-3",4.67703380293912e-05,2.43999966404541e-07,191.681739627161,0
"4.10","all","4 yr.","excluded","with","1","All","LPM","curr_pts_grp4-6",8.60811116583011e-05,5.60104826001759e-07,153.687502164159,0
"4.11","all","4 yr.","excluded","with","1","All","LPM","curr_pts_grp7-9",0.000126985880377863,1.09950272028743e-06,115.493921056118,0
"4.12","all","4 yr.","excluded","with","1","All","LPM","curr_pts_grp10-150",0.000197627789783572,1.6480049383238e-06,119.919416008899,0
"4.13","all","4 yr.","excluded","with","1","All","LPM","policyTRUE:age_grp16-19",2.73620538021102e-06,1.61166301086327e-06,1.69775279432975,0.0895544288621949
"4.14","all","4 yr.","excluded","with","1","All","LPM","policyTRUE:age_grp20-24",-8.86243959327609e-07,1.36520412712357e-06,-0.649165895209306,0.516231153232142
"4.15","all","4 yr.","excluded","with","1","All","LPM","policyTRUE:age_grp25-34",1.67068956481837e-06,1.29109912908835e-06,1.29400564772904,0.19566347003687
"4.16","all","4 yr.","excluded","with","1","All","LPM","policyTRUE:age_grp35-44",3.60358044720212e-06,1.28420543205429e-06,2.80607787294407,0.00501485713600013
"4.17","all","4 yr.","excluded","with","1","All","LPM","policyTRUE:age_grp45-54",3.63009168047614e-06,1.27700319625156e-06,2.84266452200879,0.00447381342392065
"4.18","all","4 yr.","excluded","with","1","All","LPM","policyTRUE:age_grp55-64",3.27760165092197e-06,1.27877387686546e-06,2.56308148783587,0.0103747695573114
"4.19","all","4 yr.","excluded","with","1","All","LPM","policyTRUE:age_grp65-199",3.05546052096015e-06,1.27343083718183e-06,2.39939259498541,0.0164222968053654
"5","all","4 yr.","excluded","no","2","All","LPM","(Intercept)",-4.51072405635777e-06,1.05503166655407e-06,-4.27543949566047,1.9076060563258e-05
"5.1","all","4 yr.","excluded","no","2","All","LPM","policyTRUE",-1.13697624694594e-06,2.64484451499149e-07,-4.29883965012438,1.71694631847067e-05
"5.2","all","4 yr.","excluded","no","2","All","LPM","age_grp16-19",0.000158927779167496,1.44956876349426e-06,109.637971767819,0
"5.3","all","4 yr.","excluded","no","2","All","LPM","age_grp20-24",0.000153512097429602,1.20727931342451e-06,127.155411115393,0
"5.4","all","4 yr.","excluded","no","2","All","LPM","age_grp25-34",0.000136452530868011,1.09944180201936e-06,124.110735663667,0
"5.5","all","4 yr.","excluded","no","2","All","LPM","age_grp35-44",0.000129634415682285,1.08933617835061e-06,119.003130767737,0
"5.6","all","4 yr.","excluded","no","2","All","LPM","age_grp45-54",0.000114857184799215,1.07998815047014e-06,106.350412038516,0
"5.7","all","4 yr.","excluded","no","2","All","LPM","age_grp55-64",9.19575723250187e-05,1.08300705295979e-06,84.9094861143371,0
"5.8","all","4 yr.","excluded","no","2","All","LPM","age_grp65-199",5.68265301900237e-05,1.07582568324933e-06,52.8213176863281,0
"5.9","all","4 yr.","excluded","no","2","All","LPM","curr_pts_grp1-3",0.000235414152791983,5.46784645113463e-07,430.542728103004,0
"5.10","all","4 yr.","excluded","no","2","All","LPM","curr_pts_grp4-6",0.000449762730156667,1.27288581310128e-06,353.340987484853,0
"5.11","all","4 yr.","excluded","no","2","All","LPM","curr_pts_grp7-9",0.000599939394553832,2.39927188762395e-06,250.050608123436,0
"5.12","all","4 yr.","excluded","no","2","All","LPM","curr_pts_grp10-150",0.000723251172037666,3.21385614503053e-06,225.041551145966,0
"6","all","4 yr.","excluded","with","2","All","LPM","(Intercept)",-4.63244715297109e-06,1.42603840449319e-06,-3.24847292918276,0.00116026248973477
"6.1","all","4 yr.","excluded","with","2","All","LPM","policyTRUE",-8.91956874882522e-07,2.0936165053902e-06,-0.426036417169095,0.670081309994337
"6.2","all","4 yr.","excluded","with","2","All","LPM","age_grp16-19",0.000157017000426473,2.03095120071289e-06,77.3120498273704,0
"6.3","all","4 yr.","excluded","with","2","All","LPM","age_grp20-24",0.000153493317501273,1.66094945079839e-06,92.412997534327,0
"6.4","all","4 yr.","excluded","with","2","All","LPM","age_grp25-34",0.000138753021022477,1.50620090588318e-06,92.1211907923519,0
"6.5","all","4 yr.","excluded","with","2","All","LPM","age_grp35-44",0.000129841516810342,1.48833752582291e-06,87.2392952254239,0
"6.6","all","4 yr.","excluded","with","2","All","LPM","age_grp45-54",0.000114569731252174,1.47597592482832e-06,77.6230352575034,0
"6.7","all","4 yr.","excluded","with","2","All","LPM","age_grp55-64",9.17402564316087e-05,1.4808694153469e-06,61.9502675123572,0
"6.8","all","4 yr.","excluded","with","2","All","LPM","age_grp65-199",5.53364183665339e-05,1.46938983646115e-06,37.6594536000093,2.29132194121847e-310
"6.9","all","4 yr.","excluded","with","2","All","LPM","curr_pts_grp1-3",0.000235412729358094,5.4678388723246e-07,430.540721581305,0
