"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"1","all","Placebo","excluded","no","all","All","LPM","(Intercept)",9.4015138465296e-05,4.04076567813046e-06,23.2666642795268,9.64791247880663e-120
"1.1","all","Placebo","excluded","no","all","All","LPM","policyTRUE",-3.86919913441826e-06,5.9236527190366e-07,-6.5317791537373,6.4992951633154e-11
"1.2","all","Placebo","excluded","no","all","All","LPM","age_grp16-19",0.000456199567488645,4.80210697791636e-06,94.9998760099657,0
"1.3","all","Placebo","excluded","no","all","All","LPM","age_grp20-24",0.000365567594804049,4.27963347221701e-06,85.4203046072241,0
"1.4","all","Placebo","excluded","no","all","All","LPM","age_grp25-34",0.000245225473349499,4.10109634095426e-06,59.7951018367052,0
"1.5","all","Placebo","excluded","no","all","All","LPM","age_grp35-44",0.00019316862956635,4.08160462695526e-06,47.3266392072001,0
"1.6","all","Placebo","excluded","no","all","All","LPM","age_grp45-54",0.000145563015511655,4.06968995825043e-06,35.7675933559894,3.52518069255376e-280
"1.7","all","Placebo","excluded","no","all","All","LPM","age_grp55-64",9.39666731272627e-05,4.07378693093362e-06,23.0661727577705,1.01235445813748e-117
"1.8","all","Placebo","excluded","no","all","All","LPM","age_grp65-199",2.53492687211862e-05,4.06660432132099e-06,6.23352229974314,4.56062437458933e-10
"1.9","all","Placebo","excluded","no","all","All","LPM","curr_pts_grp1-3",0.000595684143752795,1.26717909659853e-06,470.086782011936,0
"1.10","all","Placebo","excluded","no","all","All","LPM","curr_pts_grp4-6",0.00121419362243122,3.11158641437973e-06,390.21690569801,0
"1.11","all","Placebo","excluded","no","all","All","LPM","curr_pts_grp7-9",0.00171348062692536,6.03547345273472e-06,283.901609433634,0
"1.12","all","Placebo","excluded","no","all","All","LPM","curr_pts_grp10-150",0.00257353567739414,9.42477887472987e-06,273.060589707247,0
"2","all","Placebo","excluded","with","all","All","LPM","(Intercept)",9.85926850434044e-05,5.77563949807921e-06,17.0704361094894,2.46353888334638e-65
"2.1","all","Placebo","excluded","with","all","All","LPM","policyTRUE",-1.29159487485069e-05,8.05946988319185e-06,-1.60258043465655,0.109027316274277
"2.2","all","Placebo","excluded","with","all","All","LPM","age_grp16-19",0.000466167272268644,6.88647307214153e-06,67.693181601838,0
"2.3","all","Placebo","excluded","with","all","All","LPM","age_grp20-24",0.000364997207553235,6.12598531649001e-06,59.5817960207529,0
"2.4","all","Placebo","excluded","with","all","All","LPM","age_grp25-34",0.000242084707168917,5.87824931412674e-06,41.1831302539573,0
"2.5","all","Placebo","excluded","with","all","All","LPM","age_grp35-44",0.000191056504866401,5.84894201998432e-06,32.6651391334724,4.88554071430952e-234
"2.6","all","Placebo","excluded","with","all","All","LPM","age_grp45-54",0.000139727400013513,5.83242457427877e-06,23.9570007694083,7.811481103929e-127
"2.7","all","Placebo","excluded","with","all","All","LPM","age_grp55-64",8.62876258346327e-05,5.83771191879521e-06,14.7810695414447,1.94060393277831e-49
"2.8","all","Placebo","excluded","with","all","All","LPM","age_grp65-199",1.53536938470751e-05,5.8267720327376e-06,2.6350256644349,0.00841309219956167
"2.9","all","Placebo","excluded","with","all","All","LPM","curr_pts_grp1-3",0.000595707679884637,1.26718896042027e-06,470.101696346115,0
"2.10","all","Placebo","excluded","with","all","All","LPM","curr_pts_grp4-6",0.00121428987424947,3.11164262158508e-06,390.240789808603,0
"2.11","all","Placebo","excluded","with","all","All","LPM","curr_pts_grp7-9",0.00171366626454447,6.03556307283304e-06,283.928151170839,0
"2.12","all","Placebo","excluded","with","all","All","LPM","curr_pts_grp10-150",0.00257392267524841,9.42490059074404e-06,273.098124533663,0
"2.13","all","Placebo","excluded","with","all","All","LPM","policyTRUE:age_grp16-19",-1.91056909080484e-05,9.60880384081296e-06,-1.98835268411848,0.0467726979372437
"2.14","all","Placebo","excluded","with","all","All","LPM","policyTRUE:age_grp20-24",9.64260398516428e-07,8.58564445277871e-06,0.112310776881093,0.910576997156993
"2.15","all","Placebo","excluded","with","all","All","LPM","policyTRUE:age_grp25-34",6.16115809655826e-06,8.21446143704001e-06,0.750037984082175,0.453231828258975
"2.16","all","Placebo","excluded","with","all","All","LPM","policyTRUE:age_grp35-44",4.05412546201623e-06,8.17134498213063e-06,0.496139310099124,0.619796126258216
"2.17","all","Placebo","excluded","with","all","All","LPM","policyTRUE:age_grp45-54",1.15168051479687e-05,8.14487001902358e-06,1.41399495892132,0.157363382684623
"2.18","all","Placebo","excluded","with","all","All","LPM","policyTRUE:age_grp55-64",1.51067514690697e-05,8.1511992263157e-06,1.8533164322985,0.0638370173276836
"2.19","all","Placebo","excluded","with","all","All","LPM","policyTRUE:age_grp65-199",1.95522125784087e-05,8.13518240206692e-06,2.40341415988915,0.0162427799606497
"3","all","Placebo","excluded","no","all","Male","LPM","(Intercept)",0.000106972390101709,5.12957600311803e-06,20.8540413548186,1.40079675149498e-96
"3.1","all","Placebo","excluded","no","all","Male","LPM","policyTRUE",-2.00851716267929e-06,9.05619941946717e-07,-2.21783672117665,0.0265659674326908
"3.2","all","Placebo","excluded","no","all","Male","LPM","age_grp16-19",0.000636046841224845,6.55161350320215e-06,97.0824730295784,0
"3.3","all","Placebo","excluded","no","all","Male","LPM","age_grp20-24",0.000491803062740972,5.59123827689613e-06,87.9595964946045,0
"3.4","all","Placebo","excluded","no","all","Male","LPM","age_grp25-34",0.000317635019147486,5.2434617231627e-06,60.5773505972878,0
"3.5","all","Placebo","excluded","no","all","Male","LPM","age_grp35-44",0.000241424702487471,5.2041492663776e-06,46.3908105109976,0
"3.6","all","Placebo","excluded","no","all","Male","LPM","age_grp45-54",0.000191225755922949,5.18420625518339e-06,36.886216811253,7.68812117702209e-298
"3.7","all","Placebo","excluded","no","all","Male","LPM","age_grp55-64",0.000130516860268131,5.19116044637341e-06,25.142135677835,1.722816952426e-139
"3.8","all","Placebo","excluded","no","all","Male","LPM","age_grp65-199",3.84893256611066e-05,5.17120039922494e-06,7.44301568101585,9.84124300184777e-14
"3.9","all","Placebo","excluded","no","all","Male","LPM","curr_pts_grp1-3",0.000651676948561833,1.70087874952766e-06,383.141331351694,0
"3.10","all","Placebo","excluded","no","all","Male","LPM","curr_pts_grp4-6",0.00126753682581769,3.7814240812752e-06,335.200918641806,0
"3.11","all","Placebo","excluded","no","all","Male","LPM","curr_pts_grp7-9",0.001750610122091,6.9263268528355e-06,252.747258292371,0
"3.12","all","Placebo","excluded","no","all","Male","LPM","curr_pts_grp10-150",0.0025792424160078,1.02060081920465e-05,252.718042889462,0
"4","all","Placebo","excluded","with","all","Male","LPM","(Intercept)",0.000114955401275586,7.27751953653702e-06,15.7959591449324,3.31711225227131e-56
"4.1","all","Placebo","excluded","with","all","Male","LPM","policyTRUE",-1.79707922720421e-05,1.0215248936496e-05,-1.75921236807434,0.0785414444203855
"4.2","all","Placebo","excluded","with","all","Male","LPM","age_grp16-19",0.00065143389127685,9.35342948941324e-06,69.6465282615517,0
"4.3","all","Placebo","excluded","with","all","Male","LPM","age_grp20-24",0.000492201266067739,7.95243491063475e-06,61.8931524242369,0
"4.4","all","Placebo","excluded","with","all","Male","LPM","age_grp25-34",0.000310896130198882,7.46990826651707e-06,41.6198056397071,0
"4.5","all","Placebo","excluded","with","all","Male","LPM","age_grp35-44",0.000235207039383377,7.41097220776892e-06,31.737676621808,4.69762818311321e-221
"4.6","all","Placebo","excluded","with","all","Male","LPM","age_grp45-54",0.000181305679288941,7.38347473847888e-06,24.5556036569163,3.76833651693924e-133
"4.7","all","Placebo","excluded","with","all","Male","LPM","age_grp55-64",0.000118777222720059,7.39246076775367e-06,16.0673456987654,4.32203258147379e-58
"4.8","all","Placebo","excluded","with","all","Male","LPM","age_grp65-199",2.46760744151311e-05,7.36308272628479e-06,3.35132380450408,0.000804262018576434
"4.9","all","Placebo","excluded","with","all","Male","LPM","curr_pts_grp1-3",0.000651691511751417,1.70088208952804e-06,383.149141121386,0
"4.10","all","Placebo","excluded","with","all","Male","LPM","curr_pts_grp4-6",0.00126764430545764,3.78151117026472e-06,335.221621299324,0
"4.11","all","Placebo","excluded","with","all","Male","LPM","curr_pts_grp7-9",0.00175086331864809,6.92653162766991e-06,252.776340709077,0
"4.12","all","Placebo","excluded","with","all","Male","LPM","curr_pts_grp10-150",0.00257985511655958,1.02064363830707e-05,252.767471400572,0
"4.13","all","Placebo","excluded","with","all","Male","LPM","policyTRUE:age_grp16-19",-2.9407971884045e-05,1.30972350978259e-05,-2.24535725780219,0.024745207079358
"4.14","all","Placebo","excluded","with","all","Male","LPM","policyTRUE:age_grp20-24",-1.0120360908329e-06,1.12261040342333e-05,-0.0901502505006864,0.928167817632013
"4.15","all","Placebo","excluded","with","all","Male","LPM","policyTRUE:age_grp25-34",1.34275757298531e-05,1.05071908698149e-05,1.27794154462616,0.201270038261436
"4.16","all","Placebo","excluded","with","all","Male","LPM","policyTRUE:age_grp35-44",1.23584629189336e-05,1.04200301210692e-05,1.18602948123392,0.235610657307473
"4.17","all","Placebo","excluded","with","all","Male","LPM","policyTRUE:age_grp45-54",1.97758642070438e-05,1.03754413453751e-05,1.90602631239961,0.0566467920324026
"4.18","all","Placebo","excluded","with","all","Male","LPM","policyTRUE:age_grp55-64",2.33173529754592e-05,1.03858891731147e-05,2.24509934458181,0.024761755766484
"4.19","all","Placebo","excluded","with","all","Male","LPM","policyTRUE:age_grp65-199",2.72937828245698e-05,1.03424779789805e-05,2.63899839864685,0.00831513741717206
"5","all","Placebo","excluded","no","all","Female","LPM","(Intercept)",3.71661771216178e-05,4.65354172942214e-06,7.98664313820022,1.38662811068022e-15
"5.1","all","Placebo","excluded","no","all","Female","LPM","policyTRUE",-1.73381558564895e-06,7.06535075202082e-07,-2.45396958551993,0.0141288931789033
"5.2","all","Placebo","excluded","no","all","Female","LPM","age_grp16-19",0.000266957201372708,5.40846694481307e-06,49.3591259957186,0
"5.3","all","Placebo","excluded","no","all","Female","LPM","age_grp20-24",0.00026833757400204,4.91636361072378e-06,54.5804979551819,0
"5.4","all","Placebo","excluded","no","all","Female","LPM","age_grp25-34",0.000213823008341815,4.72825989591642e-06,45.2223467086663,0
"5.5","all","Placebo","excluded","no","all","Female","LPM","age_grp35-44",0.000190732265751662,4.70845180038907e-06,40.5084885303277,0
"5.6","all","Placebo","excluded","no","all","Female","LPM","age_grp45-54",0.000140259592679701,4.6898024750386e-06,29.9073561042775,1.57899400315321e-196
"5.7","all","Placebo","excluded","no","all","Female","LPM","age_grp55-64",9.11953605312864e-05,4.69233131329713e-06,19.4349789992145,3.90580708945106e-84
"5.8","all","Placebo","excluded","no","all","Female","LPM","age_grp65-199",4.14180788688459e-05,4.68649502026663e-06,8.83775160108662,9.76641909231458e-19
"5.9","all","Placebo","excluded","no","all","Female","LPM","curr_pts_grp1-3",0.000439656952026279,1.81667503025981e-06,242.011886937975,0
"5.10","all","Placebo","excluded","no","all","Female","LPM","curr_pts_grp4-6",0.000910992382104398,5.27471549263506e-06,172.709292733682,0
"5.11","all","Placebo","excluded","no","all","Female","LPM","curr_pts_grp7-9",0.00127459774944681,1.18434014576125e-05,107.620919041594,0
"5.12","all","Placebo","excluded","no","all","Female","LPM","curr_pts_grp10-150",0.00187669184655235,2.36600523148082e-05,79.3190066354074,0
"6","all","Placebo","excluded","with","all","Female","LPM","(Intercept)",3.242398948438e-05,6.41344829451884e-06,5.05562499226675,4.28983591134415e-07
"6.1","all","Placebo","excluded","with","all","Female","LPM","policyTRUE",7.29610937673062e-06,9.24863446664862e-06,0.78888504060151,0.430179199851863
"6.2","all","Placebo","excluded","with","all","Female","LPM","age_grp16-19",0.000273054742682152,7.5432355816375e-06,36.1986232203657,6.40058743604694e-287
"6.3","all","Placebo","excluded","with","all","Female","LPM","age_grp20-24",0.00026911949783645,6.809041918471e-06,39.5238421291555,0
"6.4","all","Placebo","excluded","with","all","Female","LPM","age_grp25-34",0.000219351594094717,6.5450904867997e-06,33.5139131440751,3.02301636953108e-246
"6.5","all","Placebo","excluded","with","all","Female","LPM","age_grp35-44",0.000198492879005667,6.5149978759197e-06,30.4670673400099,7.11961052846073e-204
"6.6","all","Placebo","excluded","with","all","Female","LPM","age_grp45-54",0.000144821142637285,6.48776005703557e-06,22.3222100330661,2.24900738492886e-110
"6.7","all","Placebo","excluded","with","all","Female","LPM","age_grp55-64",9.47459606207765e-05,6.49091733136593e-06,14.5966980911831,2.94782029809237e-48
"6.8","all","Placebo","excluded","with","all","Female","LPM","age_grp65-199",4.32840166800393e-05,6.48134778929378e-06,6.67824318138552,2.41823596536728e-11
"6.9","all","Placebo","excluded","with","all","Female","LPM","curr_pts_grp1-3",0.0004396731049864,1.81669837087793e-06,242.01766899473,0
"6.10","all","Placebo","excluded","with","all","Female","LPM","curr_pts_grp4-6",0.000911044991957048,5.27477465611215e-06,172.717329431576,0
"6.11","all","Placebo","excluded","with","all","Female","LPM","curr_pts_grp7-9",0.00127465374633176,1.18433757422851e-05,107.625880835714,0
"6.12","all","Placebo","excluded","with","all","Female","LPM","curr_pts_grp10-150",0.00187673041673125,2.3659891260457e-05,79.3211767573864,0
"6.13","all","Placebo","excluded","with","all","Female","LPM","policyTRUE:age_grp16-19",-1.16472425122141e-05,1.07886787191183e-05,-1.07958006864866,0.280329221075383
"6.14","all","Placebo","excluded","with","all","Female","LPM","policyTRUE:age_grp20-24",-1.14270327251582e-06,9.82054100824346e-06,-0.116358484889643,0.90736843610944
"6.15","all","Placebo","excluded","with","all","Female","LPM","policyTRUE:age_grp25-34",-1.05935133522729e-05,9.43710664778552e-06,-1.12253826809924,0.261633646174403
"6.16","all","Placebo","excluded","with","all","Female","LPM","policyTRUE:age_grp35-44",-1.51031038148649e-05,9.39565191451297e-06,-1.60745672064925,0.107954216251257
"6.17","all","Placebo","excluded","with","all","Female","LPM","policyTRUE:age_grp45-54",-8.67911900999619e-06,9.35461578232936e-06,-0.927790003560684,0.353516510529554
"6.18","all","Placebo","excluded","with","all","Female","LPM","policyTRUE:age_grp55-64",-6.7078351124728e-06,9.35722936540324e-06,-0.716861247120208,0.473459715839296
"6.19","all","Placebo","excluded","with","all","Female","LPM","policyTRUE:age_grp65-199",-3.47232903816036e-06,9.34418685010385e-06,-0.371603125436406,0.710188361761263
"7","all","Placebo","excluded","no","all","All","Logit","(Intercept)",-8.96994246426155,0.0259567229829512,-345.572993561366,0
"7.1","all","Placebo","excluded","no","all","All","Logit","policyTRUE",-0.00817836825032766,0.00143020177558754,-5.71833176963295,1.07574948176786e-08
"7.2","all","Placebo","excluded","no","all","All","Logit","age_grp16-19",1.20698204392339,0.0261517656208882,46.1529849043668,0
"7.3","all","Placebo","excluded","no","all","All","Logit","age_grp20-24",1.08331879678405,0.0260294810655228,41.6189164147014,0
"7.4","all","Placebo","excluded","no","all","All","Logit","age_grp25-34",0.914018880153087,0.0259902416039227,35.167771584514,6.21989314167123e-271
"7.5","all","Placebo","excluded","no","all","All","Logit","age_grp35-44",0.809270332965386,0.0259897190041246,31.1380947534274,7.35147012027925e-213
"7.6","all","Placebo","excluded","no","all","All","Logit","age_grp45-54",0.686530061463713,0.0259947324592977,26.4103530412815,1.04202853070021e-153
"7.7","all","Placebo","excluded","no","all","All","Logit","age_grp55-64",0.511254522372876,0.0260314156146932,19.6399047189852,7.053038979763e-86
"7.8","all","Placebo","excluded","no","all","All","Logit","age_grp65-199",0.154914952917565,0.0261222974336022,5.93037244565985,3.02248303811324e-09
"7.9","all","Placebo","excluded","no","all","All","Logit","curr_pts_grp1-3",1.15666420657309,0.00173497552233276,666.674654301694,0
"7.10","all","Placebo","excluded","no","all","All","Logit","curr_pts_grp4-6",1.65921013092548,0.00229678571272157,722.405282188646,0
"7.11","all","Placebo","excluded","no","all","All","Logit","curr_pts_grp7-9",1.921080577324,0.00316407965807095,607.153038142925,0
"7.12","all","Placebo","excluded","no","all","All","Logit","curr_pts_grp10-150",2.23341645778101,0.00344384117348605,648.524814377608,0
"8","all","Placebo","excluded","with","all","All","Logit","(Intercept)",-8.94741123482368,0.0366676525534928,-244.013745406001,0
"8.1","all","Placebo","excluded","with","all","All","Logit","policyTRUE",-0.0527852704319454,0.0518883480145583,-1.01728562291356,0.309017573975244
"8.2","all","Placebo","excluded","with","all","All","Logit","age_grp16-19",1.21346304813149,0.0369671025185156,32.8254844296685,2.54962292232482e-236
"8.3","all","Placebo","excluded","with","all","All","Logit","age_grp20-24",1.07364441219563,0.0367830101621899,29.1885956984361,2.70638343823914e-187
"8.4","all","Placebo","excluded","with","all","All","Logit","age_grp25-34",0.896456524256428,0.0367301638834406,24.4065484461556,1.45721788578809e-131
"8.5","all","Placebo","excluded","with","all","All","Logit","age_grp35-44",0.792104806087222,0.0367295016119981,21.5659012870589,3.75531416534613e-103
"8.6","all","Placebo","excluded","with","all","All","Logit","age_grp45-54",0.657200157143538,0.0367397566386491,17.8879834073856,1.46308137446512e-71
"8.7","all","Placebo","excluded","with","all","All","Logit","age_grp55-64",0.471620551416184,0.0367964794993876,12.8170020021626,1.3169480730654e-37
"8.8","all","Placebo","excluded","with","all","All","Logit","age_grp65-199",0.0911130788886266,0.0369407828598647,2.46646312922672,0.0136454775989732
"8.9","all","Placebo","excluded","with","all","All","Logit","curr_pts_grp1-3",1.15654116282543,0.00173492371489196,666.62364050828,0
"8.10","all","Placebo","excluded","with","all","All","Logit","curr_pts_grp4-6",1.65922831288408,0.00229668457214653,722.4450118256,0
"8.11","all","Placebo","excluded","with","all","All","Logit","curr_pts_grp7-9",1.92133744353255,0.00316399212760201,607.251018980483,0
"8.12","all","Placebo","excluded","with","all","All","Logit","curr_pts_grp10-150",2.23422057024564,0.00344400401854494,648.727631621517,0
"8.13","all","Placebo","excluded","with","all","All","Logit","policyTRUE:age_grp16-19",-0.0105132103689224,0.0522920037722449,-0.201048145232914,0.84066092811531
"8.14","all","Placebo","excluded","with","all","All","Logit","policyTRUE:age_grp20-24",0.0194174463194609,0.0520436240259781,0.373099427314449,0.709074444893956
"8.15","all","Placebo","excluded","with","all","All","Logit","policyTRUE:age_grp25-34",0.0349241125219082,0.0519731855996531,0.671964054520863,0.501606580184249
"8.16","all","Placebo","excluded","with","all","All","Logit","policyTRUE:age_grp35-44",0.0340499250650047,0.0519747590444906,0.655124250520485,0.512387759765235
"8.17","all","Placebo","excluded","with","all","All","Logit","policyTRUE:age_grp45-54",0.0576560618322964,0.051987271875473,1.10904188183604,0.267412114802123
"8.18","all","Placebo","excluded","with","all","All","Logit","policyTRUE:age_grp55-64",0.0772113138854889,0.0520624979249252,1.48305050589061,0.13806099250779
"8.19","all","Placebo","excluded","with","all","All","Logit","policyTRUE:age_grp65-199",0.122206841561587,0.0522470966734799,2.33901688978668,0.0193345593927319
"9","all","Placebo","excluded","no","all","Male","Logit","(Intercept)",-8.78761841713921,0.0270380845981893,-325.008910495372,0
"9.1","all","Placebo","excluded","no","all","Male","Logit","policyTRUE",-0.00246220861041945,0.00168957057185875,-1.45729847064672,0.145034008818535
"9.2","all","Placebo","excluded","no","all","Male","Logit","age_grp16-19",1.26927344471891,0.0272767897593479,46.5330948369365,0
"9.3","all","Placebo","excluded","no","all","Male","Logit","age_grp20-24",1.12969323738972,0.0271335491011419,41.6345548154694,0
"9.4","all","Placebo","excluded","no","all","Male","Logit","age_grp25-34",0.949032628935595,0.0270841774845611,35.0401126073175,5.51541340165565e-269
"9.5","all","Placebo","excluded","no","all","Male","Logit","age_grp35-44",0.828972283179094,0.0270850242651718,30.6062964929685,1.00923211150016e-205
"9.6","all","Placebo","excluded","no","all","Male","Logit","age_grp45-54",0.726105339306024,0.0270902129969714,26.8032347839864,2.96253751960868e-158
"9.7","all","Placebo","excluded","no","all","Male","Logit","age_grp55-64",0.567536906615592,0.027135175820643,20.9151733663668,3.89610063738615e-97
"9.8","all","Placebo","excluded","no","all","Male","Logit","age_grp65-199",0.19686076143847,0.0272430976123448,7.22607848195889,4.97140515156315e-13
"9.9","all","Placebo","excluded","no","all","Male","Logit","curr_pts_grp1-3",1.07619990911262,0.00206611659983448,520.880529781734,0
"9.10","all","Placebo","excluded","no","all","Male","Logit","curr_pts_grp4-6",1.52124485070949,0.00262174979716073,580.240285460096,0
"9.11","all","Placebo","excluded","no","all","Male","Logit","curr_pts_grp7-9",1.75372887003589,0.00348146215872048,503.733428681135,0
"9.12","all","Placebo","excluded","no","all","Male","Logit","curr_pts_grp10-150",2.03923650460637,0.0036836757726901,553.587403029547,0
"10","all","Placebo","excluded","with","all","Male","Logit","(Intercept)",-8.7602845729655,0.0379672304840363,-230.732778274382,0
"10.1","all","Placebo","excluded","with","all","Male","Logit","policyTRUE",-0.0570334081119729,0.0540459618411499,-1.05527603116036,0.291299099964881
"10.2","all","Placebo","excluded","with","all","Male","Logit","age_grp16-19",1.27621134320926,0.038334119250441,33.2917872684549,5.0765176335819e-243
"10.3","all","Placebo","excluded","with","all","Male","Logit","age_grp20-24",1.11987887467893,0.0381172265410298,29.3798625005803,9.93189577289134e-190
"10.4","all","Placebo","excluded","with","all","Male","Logit","age_grp25-34",0.926375361502238,0.0380526969007331,24.3445389407969,6.6232083657167e-131
"10.5","all","Placebo","excluded","with","all","Male","Logit","age_grp35-44",0.804321412192866,0.0380548541399576,21.1358427294122,3.72479746121704e-99
"10.6","all","Placebo","excluded","with","all","Male","Logit","age_grp45-54",0.690971598989944,0.0380664687000691,18.1517125855357,1.24459263677602e-73
"10.7","all","Placebo","excluded","with","all","Male","Logit","age_grp55-64",0.522851734999602,0.0381368752312586,13.7098734972143,8.86121984257034e-43
