,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value
2.26,all,4 yr.,mnwk,with,all,All,LPM,weekdayWednesday,0.000217605,7.44E-07,292.3248747,0
2.27,all,4 yr.,mnwk,with,all,All,LPM,weekdayThursday,0.000193426,7.34E-07,263.4581876,0
2.28,all,4 yr.,mnwk,with,all,All,LPM,weekdayFriday,0.000150472,7.13E-07,211.0876253,0
2.29,all,4 yr.,mnwk,with,all,All,LPM,weekdaySaturday,2.95E-05,6.47E-07,45.62420897,0
2.3,all,4 yr.,mnwk,with,all,All,LPM,policyTRUE:age_grp16-19,-6.27E-05,6.71E-06,-9.348296411,8.91E-21
2.31,all,4 yr.,mnwk,with,all,All,LPM,policyTRUE:age_grp20-24,-6.77E-05,6.06E-06,-11.17653193,5.31E-29
2.32,all,4 yr.,mnwk,with,all,All,LPM,policyTRUE:age_grp25-34,-5.15E-05,5.81E-06,-8.869102754,7.37E-19
2.33,all,4 yr.,mnwk,with,all,All,LPM,policyTRUE:age_grp35-44,-2.68E-05,5.78E-06,-4.638066807,3.52E-06
2.34,all,4 yr.,mnwk,with,all,All,LPM,policyTRUE:age_grp45-54,-1.95E-05,5.76E-06,-3.385372835,0.000710816
2.35,all,4 yr.,mnwk,with,all,All,LPM,policyTRUE:age_grp55-64,-1.22E-05,5.76E-06,-2.110348413,0.034828356
2.36,all,4 yr.,mnwk,with,all,All,LPM,policyTRUE:age_grp65-199,3.77E-06,5.75E-06,0.6549696,0.512487327
3,all,4 yr.,mnwk,no,1,All,LPM,(Intercept),-1.94E-05,6.65E-07,-29.23563862,6.84E-188
3.1,all,4 yr.,mnwk,no,1,All,LPM,policyTRUE,4.37E-06,1.19E-07,36.85513864,2.42E-297
3.2,all,4 yr.,mnwk,no,1,All,LPM,age_grp16-19,4.18E-05,8.06E-07,51.89485648,0
3.3,all,4 yr.,mnwk,no,1,All,LPM,age_grp20-24,2.48E-05,6.80E-07,36.47980316,2.32E-291
3.4,all,4 yr.,mnwk,no,1,All,LPM,age_grp25-34,2.29E-05,6.43E-07,35.61986234,6.90E-278
3.5,all,4 yr.,mnwk,no,1,All,LPM,age_grp35-44,2.24E-05,6.40E-07,34.99253321,2.92E-268
3.6,all,4 yr.,mnwk,no,1,All,LPM,age_grp45-54,1.95E-05,6.37E-07,30.61856735,6.93E-206
3.7,all,4 yr.,mnwk,no,1,All,LPM,age_grp55-64,1.54E-05,6.38E-07,24.11743971,1.64E-128
3.8,all,4 yr.,mnwk,no,1,All,LPM,age_grp65-199,8.45E-06,6.36E-07,13.2811756,2.98E-40
3.9,all,4 yr.,mnwk,no,1,All,LPM,curr_pts_grp1-3,4.68E-05,2.44E-07,191.7772692,0
3.1,all,4 yr.,mnwk,no,1,All,LPM,curr_pts_grp4-6,8.61E-05,5.60E-07,153.7452412,0
3.11,all,4 yr.,mnwk,no,1,All,LPM,curr_pts_grp7-9,0.000127012,1.10E-06,115.5166787,0
3.12,all,4 yr.,mnwk,no,1,All,LPM,curr_pts_grp10-150,0.000197625,1.65E-06,119.9286897,0
3.13,all,4 yr.,mnwk,no,1,All,LPM,month02,7.59E-06,2.87E-07,26.4368718,5.17E-154
3.14,all,4 yr.,mnwk,no,1,All,LPM,month03,9.49E-06,2.83E-07,33.46926735,1.35E-245
3.15,all,4 yr.,mnwk,no,1,All,LPM,month04,7.04E-06,2.82E-07,25.00387076,5.55E-138
3.16,all,4 yr.,mnwk,no,1,All,LPM,month05,9.71E-06,2.85E-07,34.06036465,2.85E-254
3.17,all,4 yr.,mnwk,no,1,All,LPM,month06,8.18E-06,2.84E-07,28.79432638,2.53E-182
3.18,all,4 yr.,mnwk,no,1,All,LPM,month07,4.74E-06,2.74E-07,17.29000028,5.60E-67
3.19,all,4 yr.,mnwk,no,1,All,LPM,month08,2.61E-06,2.69E-07,9.709617676,2.74E-22
