"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","mfx"
"7.19","all","4 yr.","mnwk","no","3","All","LPM","month08",8.84720142071945e-06,6.48114630573125e-07,13.650673821228,2.00020633391693e-42,NA
"7.20","all","4 yr.","mnwk","no","3","All","LPM","month09",4.43128638005413e-05,6.86792600097134e-07,64.5214636766239,0,NA
"7.21","all","4 yr.","mnwk","no","3","All","LPM","month10",4.429189878636e-05,6.81227057072611e-07,65.0178208961524,0,NA
"7.22","all","4 yr.","mnwk","no","3","All","LPM","month11",4.02265848414421e-05,6.82551837746978e-07,58.9355747311812,0,NA
"7.23","all","4 yr.","mnwk","no","3","All","LPM","month12",-6.9348293925687e-05,5.70228984383233e-07,-121.614817599451,0,NA
"7.24","all","4 yr.","mnwk","no","3","All","LPM","weekdayMonday",6.10666544879277e-05,4.82455300755353e-07,126.574740483355,0,NA
"7.25","all","4 yr.","mnwk","no","3","All","LPM","weekdayTuesday",8.3904101347389e-05,4.99071482824935e-07,168.120408067517,0,NA
"7.26","all","4 yr.","mnwk","no","3","All","LPM","weekdayWednesday",9.79721891928638e-05,5.09075638636963e-07,192.451144303785,0,NA
"7.27","all","4 yr.","mnwk","no","3","All","LPM","weekdayThursday",8.62430218355376e-05,5.0183504735478e-07,171.855318376293,0,NA
"7.28","all","4 yr.","mnwk","no","3","All","LPM","weekdayFriday",6.79611281528644e-05,4.8851766854546e-07,139.117032051708,0,NA
"7.29","all","4 yr.","mnwk","no","3","All","LPM","weekdaySaturday",1.44440573018801e-05,4.4606787824281e-07,32.3808505530132,5.10667522268779e-230,NA
"8","all","4 yr.","mnwk","with","3","All","LPM","(Intercept)",2.05356187391157e-06,3.43808698107184e-06,0.597297824405641,0.550308556762156,NA
"8.1","all","4 yr.","mnwk","with","3","All","LPM","policyTRUE",-5.97796721197214e-06,4.8134801371347e-06,-1.24192206920181,0.214265316636138,NA
"8.2","all","4 yr.","mnwk","with","3","All","LPM","age_grp16-19",0.000193551079345597,3.86020419246257e-06,50.1401142777692,0,NA
"8.3","all","4 yr.","mnwk","with","3","All","LPM","age_grp20-24",0.000168225618189043,3.55825676917248e-06,47.277537598324,0,NA
"8.4","all","4 yr.","mnwk","with","3","All","LPM","age_grp25-34",8.98764259023389e-05,3.4443789914293e-06,26.0936517514419,4.3038000045622e-150,NA
"8.5","all","4 yr.","mnwk","with","3","All","LPM","age_grp35-44",5.73937258908133e-05,3.43157715478004e-06,16.7251742572264,8.59246874632609e-63,NA
"8.6","all","4 yr.","mnwk","with","3","All","LPM","age_grp45-54",2.98125720183837e-05,3.42384282075535e-06,8.7073424742689,3.11082150979042e-18,NA
"8.7","all","4 yr.","mnwk","with","3","All","LPM","age_grp55-64",5.47247771380353e-06,3.42581137694713e-06,1.59742528459937,0.110170940077588,NA
"8.8","all","4 yr.","mnwk","with","3","All","LPM","age_grp65-199",-2.14779530828754e-05,3.42287007709747e-06,-6.27483737305283,3.49999941440893e-10,NA
"8.9","all","4 yr.","mnwk","with","3","All","LPM","curr_pts_grp1-3",0.000266905286651109,5.74701440372767e-07,464.424252143839,0,NA
"8.10","all","4 yr.","mnwk","with","3","All","LPM","curr_pts_grp4-6",0.000566636688765805,1.40518816666897e-06,403.24612902842,0,NA
"8.11","all","4 yr.","mnwk","with","3","All","LPM","curr_pts_grp7-9",0.000823048553211932,2.7618748473884e-06,298.003565943691,0,NA
"8.12","all","4 yr.","mnwk","with","3","All","LPM","curr_pts_grp10-150",0.00116245834415286,3.98090196919177e-06,292.008784227579,0,NA
"8.13","all","4 yr.","mnwk","with","3","All","LPM","month02",2.89528587019361e-05,6.83650509686646e-07,42.3503797506225,0,NA
"8.14","all","4 yr.","mnwk","with","3","All","LPM","month03",2.98125181323955e-05,6.66502086398885e-07,44.7298196671412,0,NA
"8.15","all","4 yr.","mnwk","with","3","All","LPM","month04",3.04679045417306e-05,6.75478824388549e-07,45.1056397945717,0,NA
"8.16","all","4 yr.","mnwk","with","3","All","LPM","month05",3.47749895547394e-05,6.73558472544329e-07,51.628761231937,0,NA
"8.17","all","4 yr.","mnwk","with","3","All","LPM","month06",3.51683387244928e-05,6.79199519887386e-07,51.7790983278726,0,NA
"8.18","all","4 yr.","mnwk","with","3","All","LPM","month07",2.92334086488941e-05,6.67913757641326e-07,43.7682385105064,0,NA
"8.19","all","4 yr.","mnwk","with","3","All","LPM","month08",8.83971648417526e-06,6.4811592871357e-07,13.6390977177818,2.34443504631808e-42,NA
"8.20","all","4 yr.","mnwk","with","3","All","LPM","month09",4.4306920661411e-05,6.86793306852549e-07,64.5127438187504,0,NA
"8.21","all","4 yr.","mnwk","with","3","All","LPM","month10",4.42873161471696e-05,6.81227452299535e-07,65.0110561423712,0,NA
"8.22","all","4 yr.","mnwk","with","3","All","LPM","month11",4.02234937910358e-05,6.82551846248931e-07,58.9310453295091,0,NA
"8.23","all","4 yr.","mnwk","with","3","All","LPM","month12",-6.93498010112401e-05,5.70229101988683e-07,-121.617435464766,0,NA
"8.24","all","4 yr.","mnwk","with","3","All","LPM","weekdayMonday",6.10666626845987e-05,4.82455232958894e-07,126.574775259618,0,NA
"8.25","all","4 yr.","mnwk","with","3","All","LPM","weekdayTuesday",8.39040189287256e-05,4.99071419462376e-07,168.120264268211,0,NA
"8.26","all","4 yr.","mnwk","with","3","All","LPM","weekdayWednesday",9.79721750735126e-05,5.09075578813219e-07,192.451139184303,0,NA
"8.27","all","4 yr.","mnwk","with","3","All","LPM","weekdayThursday",8.62433151010356e-05,5.0183498060561e-07,171.855925621123,0,NA
"8.28","all","4 yr.","mnwk","with","3","All","LPM","weekdayFriday",6.79614244202532e-05,4.88517574614598e-07,139.11766526285,0,NA
"8.29","all","4 yr.","mnwk","with","3","All","LPM","weekdaySaturday",1.44439986814783e-05,4.46067797415952e-07,32.3807250044762,5.12749779581834e-230,NA
"8.30","all","4 yr.","mnwk","with","3","All","LPM","policyTRUE:age_grp16-19",-4.90331560469183e-05,5.39738735275265e-06,-9.08460943087799,1.04071674783699e-19,NA
"8.31","all","4 yr.","mnwk","with","3","All","LPM","policyTRUE:age_grp20-24",-5.08999785065013e-05,5.02902695197226e-06,-10.1212379636462,4.4475431696596e-24,NA
"8.32","all","4 yr.","mnwk","with","3","All","LPM","policyTRUE:age_grp25-34",-4.25522188679813e-05,4.87274914907106e-06,-8.73269227825806,2.48681033770213e-18,NA
"8.33","all","4 yr.","mnwk","with","3","All","LPM","policyTRUE:age_grp35-44",-2.93002836259707e-05,4.85680020048171e-06,-6.03283693306236,1.6110597335984e-09,NA
"8.34","all","4 yr.","mnwk","with","3","All","LPM","policyTRUE:age_grp45-54",-2.50281883645644e-05,4.84454244693757e-06,-5.16626464494819,2.38818591312464e-07,NA
"8.35","all","4 yr.","mnwk","with","3","All","LPM","policyTRUE:age_grp55-64",-1.90605832600241e-05,4.84600058812481e-06,-3.93326061633841,8.380129318168e-05,NA
"8.36","all","4 yr.","mnwk","with","3","All","LPM","policyTRUE:age_grp65-199",-6.65871264448468e-06,4.84222919244825e-06,-1.37513372040905,0.169089991938534,NA
"9","all","4 yr.","mnwk","no","4","All","LPM","(Intercept)",1.08290664004278e-05,7.87364122924924e-07,13.7535685016986,4.84781746703072e-43,NA
"9.1","all","4 yr.","mnwk","no","4","All","LPM","policyTRUE",-5.17126433680802e-07,3.9189339610258e-08,-13.1955893828188,9.3024528004394e-40,NA
"9.2","all","4 yr.","mnwk","no","4","All","LPM","age_grp16-19",2.94104848138691e-05,8.85561413719922e-07,33.2111182332643,7.43989097765219e-242,NA
"9.3","all","4 yr.","mnwk","no","4","All","LPM","age_grp20-24",-3.75703639276795e-07,7.9731356567808e-07,-0.471211898868515,0.637489422394408,NA
"9.4","all","4 yr.","mnwk","no","4","All","LPM","age_grp25-34",-8.9239396178662e-06,7.86815931139236e-07,-11.3418390054014,8.14153874022822e-30,NA
"9.5","all","4 yr.","mnwk","no","4","All","LPM","age_grp35-44",-1.08255085334391e-05,7.85950838888747e-07,-13.7737731137805,3.66557828982273e-43,NA
"9.6","all","4 yr.","mnwk","no","4","All","LPM","age_grp45-54",-1.13251170234851e-05,7.85578247229297e-07,-14.4162813359819,4.08782096457762e-47,NA
"9.7","all","4 yr.","mnwk","no","4","All","LPM","age_grp55-64",-1.13723446728493e-05,7.85484970119317e-07,-14.4781187488818,1.66594815703037e-47,NA
"9.8","all","4 yr.","mnwk","no","4","All","LPM","age_grp65-199",-1.11922478175696e-05,7.85417995168047e-07,-14.2500526935023,4.47943607249237e-46,NA
"9.9","all","4 yr.","mnwk","no","4","All","LPM","curr_pts_grp1-3",2.69299982910251e-06,6.95657536145825e-08,38.7115741464202,0,NA
"9.10","all","4 yr.","mnwk","no","4","All","LPM","curr_pts_grp4-6",1.0301995451842e-05,1.96995556455738e-07,52.2955727387524,0,NA
